iteration=69|loss_val=0.21247385442256927|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03271967172622681|dice_val=0.06353644281625748|loss=0.2363809496164322|acc=None|prec=0.0|rec=0.0|jaccard=0.0361378937959671|dice=0.06984153389930725|time=13.999794244766235
iteration=70|loss_val=0.21514838933944702|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03308052942156792|dice_val=0.06421980261802673|loss=0.23692452907562256|acc=None|prec=0.0|rec=0.0|jaccard=0.035952284932136536|dice=0.0694955587387085|time=14.073427200317383
iteration=71|loss_val=0.20929637551307678|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03162499517202377|dice_val=0.0614767000079155|loss=0.23597340285778046|acc=None|prec=0.0|rec=0.0|jaccard=0.035824403166770935|dice=0.06928279250860214|time=14.241033792495728
iteration=72|loss_val=0.20736072957515717|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03168459236621857|dice_val=0.06160899996757507|loss=0.23740625381469727|acc=None|prec=0.0|rec=0.0|jaccard=0.03577907383441925|dice=0.0692092627286911|time=13.838252067565918
iteration=73|loss_val=0.2093687802553177|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03143664076924324|dice_val=0.06114230304956436|loss=0.23417676985263824|acc=None|prec=0.0|rec=0.0|jaccard=0.034994158893823624|dice=0.06774772703647614|time=13.722044467926025
iteration=74|loss_val=0.21447965502738953|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.032174646854400635|dice_val=0.06251287460327148|loss=0.23538435995578766|acc=None|prec=0.0|rec=0.0|jaccard=0.03511105105280876|dice=0.0679655522108078|time=13.696443796157837
iteration=75|loss_val=0.2087356150150299|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03136403486132622|dice_val=0.06102170795202255|loss=0.23632436990737915|acc=None|prec=0.0|rec=0.0|jaccard=0.034844595938920975|dice=0.06747764348983765|time=13.45632815361023
iteration=76|loss_val=0.2041415572166443|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.030819281935691833|dice_val=0.06000743433833122|loss=0.23585140705108643|acc=None|prec=0.0|rec=0.0|jaccard=0.03448590636253357|dice=0.06680399924516678|time=13.63515305519104
iteration=77|loss_val=0.20268556475639343|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.029924485832452774|dice_val=0.058312006294727325|loss=0.23422139883041382|acc=None|prec=0.0|rec=0.0|jaccard=0.03402775153517723|dice=0.06595822423696518|time=13.644740343093872
iteration=78|loss_val=0.21250468492507935|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03155552223324776|dice_val=0.0613870695233345|loss=0.2308904528617859|acc=None|prec=0.0|rec=0.0|jaccard=0.033569518476724625|dice=0.06512300670146942|time=13.683658838272095
iteration=79|loss_val=0.2121075689792633|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03127426654100418|dice_val=0.06084876507520676|loss=0.23746491968631744|acc=None|prec=0.0|rec=0.0|jaccard=0.033820852637290955|dice=0.06556330621242523|time=13.518351078033447
iteration=80|loss_val=0.20927803218364716|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.030406057834625244|dice_val=0.0592227466404438|loss=0.2318945974111557|acc=None|prec=0.0|rec=0.0|jaccard=0.03304080665111542|dice=0.06412118673324585|time=13.709505081176758
iteration=81|loss_val=0.21056309342384338|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03054404817521572|dice_val=0.0594848170876503|loss=0.234420508146286|acc=None|prec=0.0|rec=0.0|jaccard=0.033466801047325134|dice=0.06492748111486435|time=13.895928144454956
iteration=82|loss_val=0.20815831422805786|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.030377840623259544|dice_val=0.059195227921009064|loss=0.22929999232292175|acc=None|prec=0.0|rec=0.0|jaccard=0.03243232145905495|dice=0.06298995763063431|time=13.541170120239258
iteration=83|loss_val=0.2049703150987625|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.029783647507429123|dice_val=0.058079373091459274|loss=0.23452810943126678|acc=None|prec=0.0|rec=0.0|jaccard=0.03305402770638466|dice=0.06416478753089905|time=13.732609510421753
iteration=84|loss_val=0.2035541832447052|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.029374409466981888|dice_val=0.05730447918176651|loss=0.22747410833835602|acc=None|prec=0.0|rec=0.0|jaccard=0.032017312943935394|dice=0.06223414093255997|time=13.62325119972229
iteration=85|loss_val=0.20210473239421844|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.029234711080789566|dice_val=0.057062048465013504|loss=0.23116303980350494|acc=None|prec=0.0|rec=0.0|jaccard=0.03208594024181366|dice=0.062352538108825684|time=13.795549869537354
iteration=86|loss_val=0.20237739384174347|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.028943073004484177|dice_val=0.05650154873728752|loss=0.23087351024150848|acc=None|prec=0.0|rec=0.0|jaccard=0.03205002099275589|dice=0.06228804588317871|time=13.691009283065796
iteration=87|loss_val=0.2032659649848938|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.02913353405892849|dice_val=0.05685881897807121|loss=0.22744540870189667|acc=None|prec=0.0|rec=0.0|jaccard=0.03148201107978821|dice=0.061230093240737915|time=13.748226642608643
iteration=88|loss_val=0.20366869866847992|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.02893347106873989|dice_val=0.05648232623934746|loss=0.23012909293174744|acc=None|prec=0.0|rec=0.0|jaccard=0.03160276263952255|dice=0.061457157135009766|time=14.007537603378296
iteration=89|loss_val=0.20819345116615295|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.029202554374933243|dice_val=0.0569893941283226|loss=0.22984649240970612|acc=None|prec=0.0|rec=0.0|jaccard=0.03147660195827484|dice=0.06122088432312012|time=13.674285650253296
iteration=90|loss_val=0.20602282881736755|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.029071619734168053|dice_val=0.05674801021814346|loss=0.2352144718170166|acc=None|prec=0.0|rec=0.0|jaccard=0.03182760626077652|dice=0.06188322976231575|time=14.009769201278687
iteration=91|loss_val=0.20932728052139282|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.02943132445216179|dice_val=0.05742878466844559|loss=0.23558399081230164|acc=None|prec=0.0|rec=0.0|jaccard=0.03189171478152275|dice=0.062009379267692566|time=13.618004322052002
iteration=92|loss_val=0.20621494948863983|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.028589308261871338|dice_val=0.055823616683483124|loss=0.2336675375699997|acc=None|prec=0.0|rec=0.0|jaccard=0.031665582209825516|dice=0.06158742308616638|time=13.676980972290039
iteration=93|loss_val=0.20307227969169617|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.028679991140961647|dice_val=0.056017570197582245|loss=0.2316257506608963|acc=None|prec=0.0|rec=0.0|jaccard=0.0313364639878273|dice=0.06097392737865448|time=13.751127243041992
iteration=94|loss_val=0.20215235650539398|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.028273984789848328|dice_val=0.05525612831115723|loss=0.2288329154253006|acc=None|prec=0.0|rec=0.0|jaccard=0.030747659504413605|dice=0.05986785888671875|time=13.79822826385498
iteration=95|loss_val=0.20594452321529388|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.02855682373046875|dice_val=0.055783726274967194|loss=0.2280174046754837|acc=None|prec=0.0|rec=0.0|jaccard=0.030939070507884026|dice=0.0602312833070755|time=13.924718379974365
iteration=96|loss_val=0.21023625135421753|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.028847023844718933|dice_val=0.056326501071453094|loss=0.2324308604001999|acc=None|prec=0.0|rec=0.0|jaccard=0.0311143659055233|dice=0.06056106463074684|time=13.990718603134155
iteration=97|loss_val=0.2049979716539383|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.028657030314207077|dice_val=0.05597938224673271|loss=0.23314234614372253|acc=None|prec=0.0|rec=0.0|jaccard=0.031053196638822556|dice=0.06044873595237732|time=14.013644695281982
iteration=98|loss_val=0.20563603937625885|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.028306588530540466|dice_val=0.05530226230621338|loss=0.23555931448936462|acc=None|prec=0.0|rec=0.0|jaccard=0.0313863642513752|dice=0.061075497418642044|time=13.619977235794067
